Nom de l’entreprise	Activité	CA 2012	CA 2013
STE ALIMENTS POUR BETAIL GHRAIEB ET FILS	I.A.A	8188	11206
SNIT CENTRE SOUSSE	Immobilier	12368	11185
AVIATION IT SERVICES AFRICA- AISA (6)	Transport	14374	10946
TISSAGE MEUBLATEX (12)	Industrie	9059	10868
GIF FILTER	IMM	11067	10696
VLT (12)	Tourisme	11790	10608
CENTRALE DISTRIBUTION AUTOMOBILE	Commerce/Auto	9776	10554
H.H.W TRADING (8)	Commerce	19151	10449
LES CARRELAGES CHOISIS DE GABES	M.C.C.V	9209	10449
FUTS METALIQUE ET EMBALLAGE PLASTIQUE	Emballage	9785	10274
STE TNNE COLLECTE LAIT- SOTUCOLAIT (2)	I.A.A	8709	10026
TEINTURERIE FINISSAGE MEDITERRANEENS	Textile	7839	10023
MB CONFECTION/SINCOTEX/SJP	Textile		10000
COTUNACE	Assurances	6059	9842
AGENCE TUNIS AFRIQUE PRESSE	Presse	10630	9783
STE TOURISTIQUE MANSOUR MAHDIA- SOGIT (14)	Tourisme	10000	9712
STE HOTELIERE EL KANTAOUI PALMARINA (12)	Tourisme	8168	9531
AGENCE PORTS INSTALLATIONS PECHE	Services	10588	9519
CIE TNNE ARTICLES SANITAIRES ET CHAUFFAGE	Commerce/Santé	8989	9479
FITOLINA	Industrie	9734	9475
CEREALIS	I.A.A		9412
STE FERMETURE EMBALLAGES EN PLASTIQUE (2)	Plastique	8645	9381
STE TNNE CHAUFFAGE ECLAIRAGE PLOMBERIE	Commerce	8990	9313
MAMI	Textile	10857	9264
GROUPE ADVANCED E-TECHNOLOGIE AETECH	T.I.C	8550	9156
FRIGOLINE	Tourisme	11210	9074
BLEU DE SUD - BDS	Services	5185	9057
SNIT-SUD	Immobilier	10372	9035
SNIT NORD	Immobilier	8136	8961
IGL INDUSTRIE (20)	I.E.E	9865	8912
CAP BON FRIGORIFIQUE PLUS	I.A.A	9418	8900
BM BROSSES	Plastique	9300	8875
ZITOUNA TAKAFOL	Assurances		8845
L’INSTANCE NATIONALE TELECOMMUNICATIONS	Télécommunications	8265	8516
STE MATERIEL CLIMATISATION- SMC (11)	Services	8760	8486
PROMO FOOD (14)	I.A.A	7000	8443
CITE NATIONALE  SPORTIVE	Services	7527	8421
SITS SKANES BEACH (12)	Tourisme	8606	8406
RAFFINERIE	Industrie/Energie	7848	8394
CAP BON FRIGORIFIQUE	I.A.A	11193	8372
MONDIAL EQUIPEMENT MATERIELS ALIMENTAIRES	I.A.A	7910	8300
STE TNNE ACCUMULATEUR NOUR	Industrie	14163	8184
GENERAL TRANSPORT INTERNATIONAL	Transport International	7895	8174
STE EL MOURADI POUR LE COMMERCE (12)	Commerce	8105	7942
GROUPE STIVEL	Textile	7781	7927
MAGHREB INTERNATIONAL PUBLICITE	Services		7898
PC RETAIL OUTLET (20)	Distribution	7611	7870
GLE PEINTURES ET ACCESOIRES- GPA (14)	Industrie	6407	7659
OFFICE PLAST	Bureautique	6576	7639
CENTRE PIECES INDUSTRIELLE ET AUTOMOBILE	Commerce	7105	7581
AGENCE REHABILITATION RENOVATION URBAINE - ARRU	Services	5455	7402
STE TNNE MARCHES DE GROS- SOTUMAG	Commerce/Services	8249	7395
VERSUS ALGERIE (20)	I.E.E	6220	7280
GRANUPHOS SA	Chimie	22635	7247
JAEGER CONTROLS TUNISIA SA	Industrie	5498	7229
GROUPEMENT INDUSRIES TRANSFORMATION - GIT	Commerce	3173	7205
SOTUPA	Commerce	6300	7200
INOPLAST LOISIRS (8)	Plastique	6832	7161
GROUPE AMORIM	Industrie		7078
CAT TRANSPORT	Transport	6000	7000
STE BALNEAIRE HAMMAMET SUD BAHAMAS (12)	Tourisme	8523	6973
AL MAADEN	Industrie	6145	6932
DAMAK SHIPPING	Services	6317	6900
BETON MANUFACTURE DU SUD	M.C.C.V	6169	6870
STE REGIONALE TRANSPORT BEJA	Transport terrestre	6532	6855
KINGFLEX  KAIROUAN	Ind/Pharmaceutique	5990	6762
AVIATION TRAINING CENTER OF TUNISIA- ATCT (6)	Services	7841	6715
IND FABRICATION  COLLE ET DERIVES	Chimie	6723	6647
GENERALE DE PRECONTRAINTE	M.C.C.V	5884	6559
SOCIETE FORUM LIVII	Textile	7596	6545
STMT (15)	Transport	5855	6502
STE CONGELATION PDS PÊCHE ET AGR	I.A.A	10104	6466
COMMISSARIAT GENERAL AU DEVELOPPEMENT REGIONAL	Services	6029	6437
ALBATEX	Textile	19533	6426
