Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
290	PFIZER TUNISIE	Ind/Pharmaceutique	23708	18035
291	STE TNNE COLLECTE CEREALES- STCC   (8)	I.A.A	7240	18000
292	CALEMBO	I.A.A	17000	18000
293	ELEONETECH  (9)	I.E.E	17291	17752
294	BIENS EQUIPEMENTS HOTELIERS-BEH	Hôtellerie/Commerce	14932	17751
295	COMPAGNIE FROMAGERE  (5)	I.A.A	13871	17568
296	CIE AFRICAINE PEINTURES- CAP VALENTINE  (15)	Chimie	16754	17527
297	SERVITRADE	Télécommunications	14646	17441
298	SOFAP  (17)	M.C.C.V	20895	17378
299	AB PROMOTION (13)	Immobilier		17333
300	STE PLACEMENT DEVELOPPEMENT TOURISTIQUE  (2)	Tourisme	15427	17013
301	TUNISIE MICRO-INFORMATIQUE-TMI	TIC	14000	17000
302	AL NASEEM  (10)	I.A.A	16415	16843
303	SOCIETE AL KHOUTAF	Industrie/Imprimerie	17960	16665
304	STE EMBALLAGE SAHEL	Emballage	14295	16607
305	ABV TUNISIE  (12)	Tourisme	16333	16503
306	CSM GIAS TRADING  (10)	Négoce	14891	16421
307	EMBALLAGES METALLIQUES SFAX- EMS  (17)	M.C.C.V	16864	16390
308	SEPT MOLKA  (11)	Services		16290
309	GROUPE MSF-ROTOPLAST	Plastique	27065	16207
310	ESSOUKNA	Immobilier	21526	16196
311	BEST LEASE	Leasing	13737	16170
312	MODERN  LEASING	Leasing		16039
313	FOCUS	TIC	13415	15591
314	PIRECO	Pétrole/Dérivés	61000	16000
315	PLASTIC SFAX	Emballage	14000	15500
316	AMADEUS TUNISIE	Services	13117	15014
317	SODIMAC  (17)	Commerce / Santé	14000	14910
318	FILATURE ITALIENNE	Textile	21342	14488
319	NEW AMICO	Textile	1356	14462
320	ABDENNADHER BRICOLAGE CENTER-ABC (13)	Commerce		14012
321	GIF FILTER	I.M.M	10696	14000
322	STE IMMOB TOURISTIQUE TUNISIE SITT AFRICA  (11)	Tourisme	12772	13925
323	ISALYS	Textile	14059	13750
324	TUNISIE VALEURS	Finance	12724	13724
325	SANI SUD	Commerce/Santé	12557	13549
326	AMC ERNST & YOUNG	Audit/Conseil	11700	13500
327	TUNIMA SARL CHAUSSURES- TUNIMAC	Cuir/Chaussures	13300	13350
328	STE TNNE CONDITIONNEMENT- STC	I.A.A	12601	13345
329	CONSORTIUM IMMOBILIERE MAGHREBINE	Immobilier	2601	13343
330	GROUPE HAKIM	Industrie	11238	13285
331	VLT  (11)	Tourisme	10608	13216
332	CNIE PROMOTION IMMOB TOURISTIQUE- COPIT  (3)	Immobilier	12300	12900
333	HHW TRADING  (8)	Commerce	10449	12745
334	PANOBOIS  (11)	Ind/Bois	12825	12724
335	CENTRALE DISTRIBUTION AUTOMOBILE- CDA	Commerce/Auto	10554	12517
336	ALMIA REFRIGERATION	Industrie	11929	12374
337	GRANUPHOS SA	Chimie	7247	12341
338	STE HOT MOURADI GOLF-MOURADI PALACE  (11)	Tourisme	11694	12192
339	SOTRAPIL	Transport/Hydrocarbures	11949	12078
340	CENTRALE TNNE INDUSTRIE PEINTURE- CETIP	Industrie	13000	12000
341	SMTT  (18)	Transport terrestre	11644	11899
342	STE HOTELIERE EL KANTAOUI PALMARINA  (11)	Tourisme	9531	11743
343	CIE TNNE DES PLASTIQUES- COTUPLAST	Plastique	5981	11537
344	STE  INDUSTRIELLE TRANSFORMATION-SIT	Industrie	11032	11302
345	GROUPE ADVANCED E-TECHNOLOGIE AETECH	TIC	9159	11233
346	CENTRE NATIONAL INFORMATIQUE	Services	10574	11182
347	LES CARRELAGES CHOISIS GABES- CCG	M.C.C.V	10455	11053
348	GIAS DISTRIBUTION  (10)	Commerce	13462	11052
349	OVER SEAS TRADING AND CONTRACTING- OSTC	Commerce	13924	11002
350	BIODEX	Chimie		11000
351	TISSAGE MEUBLATEX  (11)	Industrie	10868	10749
352	SOBITEX	Textile	7935	10607
353	SNIT-SUD	Immobilier	9035	10591
354	STE ALIMENTS BETAIL GHRAIEB  ET  FILS- SABGEF	I.A.A	11353	10541
355	TUNINDUSTRIE	Commerce	9392	10529
356	MAMI	Textile	9264	10529
357	ENERSYS ASSAD	Industrie	10100	10500
358	STE BALNEAIRE HAMMAMET SUD BAHAMAS  (11)	Tourisme	6973	10492
359	L’EQUIPEMENT MODERNE	Commerce	10634	10466
360	STE TOURISTIQUE MANSOUR MAHDIA - SOGIT  (15)	Tourisme	9712	10459
361	SNIT CENTRE SOUSSE	Immobilier	11185	10325
362	OFFICE PLAST	Bureautique		10237
